distance,rssi
1,-39
1,-39
1,-39
1,-45
1,-53
1,-42
1,-33
1,-39
1,-39
1,-37
1,-37
1,-39
1,-40
1,-39
1,-39
1,-36
1,-36
1,-36
1,-36
1,-36
1,-39
1,-36
1,-36
1,-39
1,-39
1,-39
1,-36
1,-36
1,-36
1,-40
1,-39
1,-39
1,-37
1,-36
1,-36
1,-39
1,-39
1,-36
1,-36
1,-36
1,-36
1,-36
1,-36
1,-39
1,-39
1,-39
1,-36
1,-39
1,-39
1,-39
5,-37
5,-37
5,-36
5,-37
5,-36
5,-37
5,-36
5,-36
5,-37
5,-37
5,-36
5,-37
5,-36
5,-36
5,-37
5,-37
5,-41
5,-41
5,-41
5,-37
5,-37
5,-37
5,-37
5,-37
5,-37
5,-38
5,-37
5,-38
5,-37
5,-36
5,-36
5,-36
5,-37
5,-37
5,-37
5,-36
5,-40
5,-36
5,-37
5,-37
5,-37
5,-37
5,-36
5,-41
5,-37
5,-37
5,-37
5,-36
5,-36
5,-37
10,-59
10,-65
10,-53
10,-53
10,-51
10,-57
10,-68
10,-68
10,-65
10,-68
10,-68
10,-68
10,-64
10,-65
10,-61
10,-67
10,-67
10,-67
10,-67
10,-62
10,-68
10,-68
10,-67
10,-68
10,-67
10,-67
10,-64
10,-65
10,-65
10,-67
10,-67
10,-64
10,-65
10,-64
10,-64
10,-67
10,-67
10,-65
10,-65
10,-64
10,-67
10,-67
10,-66
10,-60
10,-65
10,-65
10,-62
10,-66
10,-67
10,-64
20,-60
20,-57
20,-59
20,-56
20,-54
20,-55
20,-54
20,-60
20,-54
20,-59
20,-57
20,-59
20,-55
20,-55
20,-59
20,-60
20,-60
20,-54
20,-54
20,-54
20,-60
20,-59
20,-58
20,-55
20,-54
20,-57
20,-61
20,-59
20,-60
20,-56
20,-54
20,-59
20,-60
20,-59
20,-59
20,-59
20,-57
20,-54
20,-59
20,-59
20,-54
20,-58
20,-54
20,-54
20,-54
20,-54
20,-59
20,-59
20,-54
20,-55
30,-44
30,-45
30,-44
30,-45
30,-45
30,-45
30,-46
30,-44
30,-46
30,-45
30,-45
30,-44
30,-45
30,-45
30,-46
30,-45
30,-46
30,-46
30,-46
30,-45
30,-44
30,-44
30,-45
30,-48
30,-44
30,-44
30,-45
30,-45
30,-45
30,-47
30,-46
30,-45
30,-44
30,-45
30,-44
30,-45
30,-46
30,-45
30,-45
30,-46
30,-44
30,-45
30,-45
30,-46
30,-47
30,-46
30,-44
30,-45
30,-45
30,-48
40,-66
40,-62
40,-66
40,-66
40,-67
40,-66
40,-66
40,-62
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-65
40,-66
40,-66
40,-66
40,-66
40,-66
40,-65
40,-66
40,-66
40,-66
40,-66
40,-66
40,-66
40,-62
40,-66
40,-66
40,-65
40,-62
40,-66
40,-66
40,-62
40,-66
40,-66
40,-66
40,-60
40,-66
40,-66
40,-65
40,-66
40,-66
40,-66
50,-67
50,-67
50,-67
50,-68
50,-67
50,-64
50,-64
50,-68
50,-68
50,-67
50,-68
50,-64
50,-64
50,-67
50,-68
50,-68
50,-64
50,-64
50,-64
50,-66
50,-67
50,-64
50,-64
50,-64
50,-64
50,-68
50,-67
50,-68
50,-67
50,-68
50,-64
50,-67
50,-68
50,-67
50,-64
50,-64
50,-64
50,-66
50,-68
50,-64
50,-64
50,-64
50,-64
50,-68
50,-65
50,-67
50,-67
50,-64
50,-64
50,-64
75,-67
75,-83
75,-69
75,-72
75,-64
75,-65
75,-67
75,-70
75,-70
75,-70
75,-69
75,-68
75,-64
75,-70
75,-72
75,-73
75,-69
75,-68
75,-66
75,-65
75,-69
75,-68
75,-73
75,-67
75,-66
75,-66
75,-74
75,-66
75,-66
75,-66
75,-66
75,-69
75,-66
75,-75
75,-66
75,-66
75,-66
75,-66
75,-66
75,-69
75,-69
75,-69
75,-66
75,-69
75,-65
75,-66
75,-66
75,-66
75,-66
75,-66
100,-65
100,-65
100,-65
100,-70
100,-69
100,-66
100,-65
100,-65
100,-69
100,-69
100,-69
100,-69
100,-69
100,-65
100,-66
100,-69
100,-65
100,-69
100,-65
100,-65
100,-66
100,-70
100,-65
100,-70
100,-65
100,-65
100,-72
100,-69
100,-66
100,-66
100,-65
100,-65
100,-69
100,-69
100,-69
100,-70
100,-65
100,-65
100,-65
100,-66
100,-69
100,-69
100,-70
100,-65
100,-65
100,-65
100,-69
100,-70
100,-65
100,-65
125,-70
125,-70
125,-67
125,-72
125,-72
125,-66
125,-71
125,-67
125,-72
125,-72
125,-67
125,-67
125,-72
125,-72
125,-72
125,-72
125,-70
125,-67
125,-67
125,-70
125,-72
125,-72
125,-72
125,-71
125,-66
125,-71
125,-72
125,-71
125,-68
125,-72
125,-72
125,-67
125,-73
125,-72
125,-73
125,-72
125,-72
125,-67
125,-68
125,-68
125,-72
125,-73
125,-73
125,-68
125,-67
125,-67
