distance,variance,standard_deviation,mean,median
1.0,9.33,3.05,-38.35,-39.0
5.0,1.55,1.24,-36.95,-37.0
10.0,12.09,3.48,-64.9,-65.0
20.0,5.62,2.37,-56.92,-57.0
30.0,0.94,0.97,-45.25,-45.0
40.0,2.51,1.58,-65.3,-66.0
50.0,3.01,1.73,-65.8,-66.0
75.0,12.6,3.55,-68.45,-67.5
100.0,4.98,2.23,-67.15,-66.0
125.0,5.53,2.35,-70.35,-72.0
150.0,2.96,1.72,-74.12,-73.0
200.0,2.57,1.6,-75.22,-76.0
250.0,4.34,2.08,-77.42,-77.0
300.0,41.92,6.47,-82.08,-87.0
350.0,19.45,4.41,-79.95,-81.5
400.0,0.52,0.72,-80.03,-80.0
450.0,5.19,2.28,-86.1,-87.0
500.0,3.65,1.91,-81.05,-81.5
550.0,2.86,1.69,-82.8,-83.0
600.0,2.47,1.57,-78.92,-79.0
700.0,2.45,1.57,-80.0,-80.5
800.0,2.9,1.7,-82.52,-83.0
900.0,21.65,4.65,-86.5,-83.0
1000.0,1.87,1.37,-84.22,-84.0
1100.0,3.43,1.85,-83.15,-82.0
1200.0,2.77,1.67,-90.78,-90.0
1300.0,0.72,0.85,-90.32,-90.0
1400.0,3.05,1.75,-93.0,-93.0
